claim_id,status,directional_assessment,quantitative_assessment,evidence_key,evidence_summary,main_caveat
E01-C001,NOT_EVALUATED,NOT_ASSESSED,UNAVAILABLE,NO_METRIC_DISTINCTIVENESS_RESULT,No catalytic-node distinctiveness estimand was executed in the locked S14-S17 sequence.,Not evaluated is not evidence of association or nonassociation.
E01-C002,NOT_EVALUATED,NOT_ASSESSED,UNAVAILABLE,NO_METRIC_DISTINCTIVENESS_RESULT,No catalytic-edge distinctiveness estimand was executed in the locked S14-S17 sequence.,Not evaluated is not evidence of association or nonassociation.
E01-C003,NOT_EVALUATED,NOT_ASSESSED,UNAVAILABLE,NO_METRIC_DISTINCTIVENESS_RESULT,No catalytic in-degree distinctiveness estimand was executed in the locked S14-S17 sequence.,Not evaluated is not evidence of association or nonassociation.
E01-C004,NOT_EVALUATED,NOT_ASSESSED,UNAVAILABLE,NO_METRIC_DISTINCTIVENESS_RESULT,No catalytic out-degree distinctiveness estimand was executed in the locked S14-S17 sequence.,Not evaluated is not evidence of association or nonassociation.
E01-C005,NOT_EVALUATED,NOT_ASSESSED,UNAVAILABLE,NO_METRIC_DISTINCTIVENESS_RESULT,No betweenness-centrality distinctiveness estimand was executed in the locked S14-S17 sequence.,Not evaluated is not evidence of association or nonassociation.
E01-C006,NOT_EVALUATED,NOT_ASSESSED,UNAVAILABLE,NO_METRIC_DISTINCTIVENESS_RESULT,No PageRank distinctiveness estimand was executed in the locked S14-S17 sequence.,Not evaluated is not evidence of association or nonassociation.
E01-C007,NOT_EVALUATED,NOT_ASSESSED,UNAVAILABLE,NO_METRIC_DISTINCTIVENESS_RESULT,No HITS-score distinctiveness estimand was executed in the locked S14-S17 sequence.,Not evaluated is not evidence of association or nonassociation.
E01-C008,NOT_EVALUATED,NOT_ASSESSED,UNAVAILABLE,NO_METRIC_DISTINCTIVENESS_RESULT,No sample-entropy distinctiveness estimand was executed in the locked S14-S17 sequence.,Not evaluated is not evidence of association or nonassociation.
E01-C009,NOT_EVALUATED,NOT_ASSESSED,UNAVAILABLE,NO_METRIC_DISTINCTIVENESS_RESULT,No correlation-dimension distinctiveness estimand was executed in the locked S14-S17 sequence.,Not evaluated is not evidence of association or nonassociation.
E01-C010,NOT_EVALUATED,NOT_ASSESSED,UNAVAILABLE,NO_METRIC_DISTINCTIVENESS_RESULT,No Lyapunov-exponent distinctiveness estimand was executed in the locked S14-S17 sequence.,Not evaluated is not evidence of association or nonassociation.
E01-C011,NOT_EVALUATED,NOT_ASSESSED,UNAVAILABLE,NO_METRIC_DISTINCTIVENESS_RESULT,No detrended-fluctuation distinctiveness estimand was executed in the locked S14-S17 sequence.,Not evaluated is not evidence of association or nonassociation.
E01-C012,NOT_EVALUATED,NOT_ASSESSED,UNAVAILABLE,NO_METRIC_DISTINCTIVENESS_RESULT,No generalized-Hurst distinctiveness estimand was executed in the locked S14-S17 sequence.,Not evaluated is not evidence of association or nonassociation.
E01-C013,NOT_SUPPORTED_WITHIN_TESTED_SCOPE,CONTRADICTED,DIFFERENT,S14_TREND,Candidate 2 and 3 primary aggregate slopes were positive with p=3.1857e-13 and p=4.2835e-4 rather than nonsignificant.,Aggregate alignment is frozen but the paper does not fully specify its alignment rule.
E01-C014,DIRECTIONALLY_SUPPORTED,ALIGNED,CLOSE_OR_WITHIN_REPORTED_DISPERSION,S14_SPIKES,Both candidates had positive three-standard-deviation excursions in 90 of 100 runs.,The paper does not report an exact count or fully specify whether the threshold was global or within run.
E01-C015,DIRECTIONALLY_SUPPORTED,ALIGNED,MIXED,S15_ASSOCIATION,Positive runwise Spearman counts were 78 and 76 for levels and 75 and 81 for changes versus 73 reported.,Completed-fit and exact-H label coupling make this retrospective only.
E01-C016,DIRECTIONALLY_SUPPORTED,ALIGNED,MIXED,S15_ASSOCIATION,Positive significant counts were 45 and 44 for levels and 55 and 50 for changes versus 54 reported.,Unadjusted runwise p-values ignore serial dependence and the paper is inconsistent about level versus change.
E01-C017,DIRECTIONALLY_SUPPORTED,ALIGNED,DIFFERENT,S15_ASSOCIATION,Mean runwise Spearman values were 0.0611-0.0749 across candidates and analyses versus 0.139 reported.,The sign reproduces but magnitude is smaller; completed fits are retrospective.
E01-C018,SUPPORTED,ALIGNED,TARGET_MET,S15_ASSOCIATION,One-sample mean-correlation diagnostics were significantly positive for both candidates in both level and change analyses and dependence-aware controls agreed.,Support is label-coupled and retrospective and does not imply incremental information or causality.
E01-C019,DIRECTIONALLY_SUPPORTED,ALIGNED,MIXED,S15_STATE,Replicator-state means were higher in 74-86 runs across candidates and level/change analyses versus 57 reported.,The exact-H current-state label differs from the historical post-fission label.
E01-C020,UNDERDETERMINED,ALIGNED,TARGET_MET,S15_STATE,All retained point-pooled and run-summary Mann-Whitney reconstructions gave higher replicator emergence with p<0.001.,The paper does not identify which aggregation scope it used so exact forensic identity is underdetermined.
E01-C021,SUPPORTED,ALIGNED,TARGET_MET,S15_STATE,Fisher-combined diagnostics gave p far below 0.001 for both candidates and both analyses.,This paper-like diagnostic inherits serial dependence and exact-H label coupling.
E01-C022,DIRECTIONALLY_SUPPORTED,ALIGNED,MIXED,S14_TEMPORAL,Raw Ljung-Box rejection counts were 82 and 79 versus 86 reported.,The paper does not report its Ljung-Box lag.
